,iteration,train angle_reward,train ce,train loss,train room,val_seen angle_reward,val_seen ce,val_seen length,val_seen loss,val_seen oracle success_rate,val_seen room,val_seen spl,val_seen success_rate,val_unseen angle_reward,val_unseen ce,val_unseen length,val_unseen loss,val_unseen oracle success_rate,val_unseen room,val_unseen spl,val_unseen success_rate
0,100,4.162265822887421,92.10220893859864,264.0268617248535,75.55666130065919,3.9518645975324844,55.76615617540148,20.35732376247598,226.65970153808593,0.18060435699226984,75.56711069742839,0.0657034515299621,0.10400562192550948,4.482204127956081,62.63218781754777,18.93981930993358,236.15461882170257,0.2294802612894064,75.55570557740357,0.08137230836295767,0.14285714285714285
1,200,4.014682269096374,47.575384521484374,218.7563720703125,75.55378799438476,4.042434363894992,38.31080559624566,19.694243503871842,209.6272260877821,0.19395643007730148,75.5521241929796,0.027949712803734806,0.06676036542515812,4.512417069426528,44.366044499852634,19.396231306961823,218.01724957990217,0.21414370917353023,75.54455985679283,0.06042897394364258,0.12269241692700937
2,300,3.8822216033935546,36.75225559234619,207.24417572021486,75.54040557861327,3.918273237016466,33.87488327026367,20.049093256227117,204.54961140950522,0.2515811665495432,75.54168090820312,0.0589292872629579,0.12297962052002812,4.455237435864973,38.65741152376742,18.762411962780135,212.0117147634695,0.17125816529395058,75.53905810106981,0.04789430939991179,0.1011076398750355
3,400,3.69701904296875,31.861826972961424,201.41681884765626,75.53494888305664,3.8682631174723308,33.24958258734809,18.78619915804936,203.66366373697917,0.23752635277582573,75.53638254801432,0.08817829568587315,0.1398453970484891,4.46186206791852,38.01643201467153,18.713580932522156,211.39791279010944,0.1959670548139733,75.53608524906743,0.05783799725129055,0.12098835558080091
4,500,3.6215675568580625,29.430972328186034,198.602296295166,75.53174339294434,3.6665380054050023,29.91454658508301,17.908258951603287,199.31241692437067,0.2881236823612087,75.53259023030598,0.1635576896988123,0.22628250175685172,4.340889380858825,34.47144869211558,18.908651354772008,207.24405663292688,0.25418915080942917,75.5340805053711,0.10934170358420815,0.17267821641579098
5,600,3.5521400427818297,27.911870498657226,196.72524429321288,75.52633666992188,3.761412869559394,28.685319222344294,17.229903858200295,198.54283345540364,0.2579058327477161,75.52522532145183,0.1493681873260991,0.1904427266338721,4.394515525113355,34.109501091209616,17.661714691153062,207.13919411049233,0.2624254473161034,75.52855744233003,0.10542232887482343,0.17296222664015903
6,700,3.5083781456947327,26.691421375274658,195.27715377807618,75.5219206237793,3.8485396014319524,28.60360794067383,18.88960638476596,198.8904256184896,0.25579761068165846,75.52205963134766,0.12179759969104047,0.18833450456781448,4.386270789412765,32.67480320973439,19.73224353196883,205.6609037931975,0.19511502414086906,75.52737364897857,0.06936915496237472,0.1297926725362113
7,800,3.456841676235199,25.71274444580078,194.03197570800782,75.51751129150391,3.837339316474067,30.110596169365778,19.098621928462524,200.3280748155382,0.24244553759662685,75.51539069281684,0.10526590256937843,0.1791988756148981,4.386530472351624,35.490974958952485,19.114453897991822,208.46677474288254,0.20533939221811986,75.52157372826929,0.05664020807629162,0.11388809997159897
8,900,3.319033763408661,24.811263389587403,192.43323928833007,75.51340370178222,3.8178705162472193,27.31351089477539,17.67413742736184,197.43428921169703,0.29093464511595224,75.51571231418185,0.14531744107012037,0.20098383696416022,4.366747705786078,31.87455364605328,18.91352910935629,204.7444378277203,0.2371485373473445,75.51807300464527,0.07754058763475326,0.1400170406134621
9,1000,3.393806290626526,24.29416126251221,192.28732650756837,75.51206657409668,3.763837957382202,27.16949751112196,18.486851599750068,197.00747816297743,0.33731553056922,75.50939551459419,0.1458096960213,0.23471539002108222,4.4458679272247865,33.354666924691415,18.971496942526326,206.61100879016223,0.22010792388525988,75.51350114152238,0.056768782668850375,0.11900028401022437
