,iteration,train angle_reward,train ce,train loss,train room,val_seen angle_reward,val_seen ce,val_seen length,val_seen loss,val_seen oracle success_rate,val_seen room,val_seen spl,val_seen success_rate,val_unseen angle_reward,val_unseen ce,val_unseen length,val_unseen loss,val_unseen oracle success_rate,val_unseen room,val_unseen spl,val_unseen success_rate
0,100,4.239434814453125,81.51375759124755,178.26461700439452,75.55368408203125,3.9639462788899738,47.05328241984049,20.653086014688213,142.42865702311198,0.040758959943780745,75.555642191569,0.008725748494964849,0.016865776528460996,4.588393021274257,53.359288860011745,20.11969448885073,151.8557151588234,0.0749786992331724,75.55446068016258,0.012118637428862277,0.02811701221243965
1,200,4.056542103290558,40.63888553619385,136.4737313079834,75.55213554382324,4.106102180480957,35.91941706339518,18.812716118216237,131.994615427653,0.12649332396345747,75.54468714396158,0.01821634868400346,0.03373155305692199,4.6073927750458585,38.89241110311972,19.122169118761168,137.4774817389411,0.1073558648111332,75.5481056007179,0.02237492004477041,0.04828173814257313
2,300,3.9497904753685,31.780502719879152,127.07291473388672,75.54345886230469,4.056634378433228,30.864496612548827,20.353018247712445,126.68853454589843,0.12438510189739986,75.54086685180664,0.02414374005289577,0.050597329585382995,4.515903363356719,34.09209619986044,20.16437105499255,132.21602537825302,0.08264697529111048,75.544412664465,0.013979905082203222,0.027833001988071572
3,400,3.8326031446456907,28.71284990310669,123.41340126037598,75.53753555297851,3.9128924290339153,28.013316090901693,19.277387098458885,123.11400782267252,0.07730147575544624,75.53623021443686,0.0135239414640638,0.028109627547434995,4.589004581039016,32.143452670123125,19.743149533850346,130.62841260755386,0.11928429423459244,75.53993647807353,0.018551728756354316,0.038341380289690426
4,500,3.768821909427643,26.70605499267578,121.08292335510254,75.53275848388672,3.999055282274882,28.36067352294922,19.90768198437408,123.88677164713542,0.10681658468025299,75.5308214823405,0.020072635761126657,0.035137034434293744,4.5172195692320125,30.677199234833587,19.572276388627106,128.7986819293048,0.10053961942629935,75.53538430703652,0.012616744439291842,0.028401022436807723
5,600,3.7032571840286255,25.285496482849123,119.33121726989746,75.5294345855713,4.142582249641419,28.261106046040855,20.003666771116293,124.50307286580404,0.11243851018973998,75.52905553181967,0.023159374294609594,0.049894588896697116,4.554574882661974,29.999158781927985,19.248368095861196,128.30728984523464,0.09173530247088896,75.5352569786278,0.01702751435182182,0.03464924737290542
6,700,3.6500697541236877,24.766003723144532,118.54294692993165,75.52659484863281,3.90788783232371,28.001423136393228,20.263087066891195,123.0663663228353,0.19957835558678846,75.52550379435222,0.05336477409966155,0.11806043569922699,4.4521457762331575,30.940079585925954,21.221296182267878,128.73402631604995,0.15421755183186595,75.53321848688898,0.025580762451275094,0.04799772791820506
7,800,3.5473033380508423,24.48182159423828,117.74399597167968,75.52565826416016,3.976578776041667,26.658577728271485,19.86227626078018,122.06804962158203,0.2649332396345748,75.52657801310221,0.041473220927788025,0.08573436401967674,4.408660244297337,27.721319250158363,20.461571989501188,125.29436472299936,0.16699801192842942,75.52974401937949,0.03439075313668836,0.07469468900880431
8,900,3.40603586435318,23.19696056365967,115.74718894958497,75.52004905700683,3.8874555746714274,24.739737892150877,20.522220803540794,119.69610443115235,0.20028109627547436,75.51908925374349,0.030976617886440575,0.07167955024595925,4.378389857910775,26.65695213627171,19.57166141224844,124.07317238885003,0.11190002840102244,75.52427044430294,0.021500095583248453,0.0448736154501562
9,1000,3.3590303373336794,22.72235273361206,115.03347869873046,75.51597450256348,3.8842940886815387,27.15142567952474,19.985696339263626,122.08891474405924,0.2073085031623331,75.51601867675781,0.05821677102666767,0.12227687983134224,4.311303367485872,28.663320670256745,20.31499917431158,125.74303549689216,0.191138880999716,75.52319758647197,0.04461511991143933,0.0985515478557228
